"acidez.fija","acidez.volatil","acido.citrico","azucar.residual","cloruros","azufre.libre","azufre.total","densidad","ph","sulfatos","alcohol","calidad"
6.7,0.19,0.23,6.2,0.047,36,117,0.9945,3.34,0.43,9.6,6
6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5
6.4,0.22,0.32,7.9,0.029,34,124,0.9948,3.4,0.39,10.2,5
6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5,5
5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6
6.4,0.12,0.3,1.1,0.031,37,94,0.98986,3.01,0.56,11.7,6
7.4,0.37,0.35,5.7,0.061,12,94,0.9965,3.48,0.69,10.7,6
7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8,5
7.2,0.26,0.4,6.3,0.047,52,172,0.99573,3.18,0.53,9.5,6
6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,6
8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4
5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,6
7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6
7.6,0.4,0.27,5.2,0.03,32,101,0.99172,3.22,0.62,12.3,7
6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5
6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6
6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,6
8.2,0.34,0.29,5.2,0.076,19,92,0.99138,2.95,0.39,12.5,6
6.1,0.34,0.21,5,0.042,17,133,0.99373,3.02,0.53,9.4,5
7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,5
7.4,0.18,0.4,1.6,0.047,22,102,0.9937,3.28,0.44,10.7,5
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8
7,0.32,0.24,6.2,0.048,31,228,0.9957,3.23,0.62,9.4,6
6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
7.9,0.16,0.3,4.8,0.037,37,171,0.9967,3.47,0.44,9,4
5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3,6
6.7,0.39,0.31,2.7,0.054,27,202,0.9948,3.46,0.57,10.5,6
6.9,0.56,0.26,10.9,0.06,55,193,0.9969,3.21,0.44,9.4,5
6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7
7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,7
7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,5
6.7,0.27,0.3,13.9,0.029,34,131,0.9953,3.36,0.5,12,7
7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9,7
7.7,0.39,0.34,10,0.056,35,178,0.9974,3.26,0.6,10.2,5
7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,6
7.5,0.14,0.74,1.6,0.035,21,126,0.9933,3.26,0.45,10.2,6
6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,5
7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7
6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7
6.6,0.22,0.37,1.2,0.059,45,199,0.993,3.37,0.55,10.3,7
7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,5
5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6
7.6,0.33,0.35,6.3,0.036,12,126,0.9924,3.16,0.39,12,7
6.4,0.44,0.44,14.4,0.048,29,228,0.99955,3.26,0.54,8.8,7
8.8,0.2,0.28,1.1,0.018,18,72,0.9926,2.97,0.35,10.4,5
7.3,0.34,0.39,5.2,0.04,45,163,0.9925,3.3,0.47,12.4,6
8.3,0.28,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6,6
6.4,0.3,0.3,2.25,0.038,8,210,0.9937,3.2,0.62,9.9,6
8,0.25,0.49,9,0.044,31,185,0.998,3.34,0.49,10,6
7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,5
8,0.18,0.37,1.3,0.04,15,96,0.9912,3.06,0.61,12.1,6
7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6
6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,6
5.1,0.26,0.33,1.1,0.027,46,113,0.98946,3.35,0.43,11.4,7
